--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                            Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean                                                                                         20863 ns        20501 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_median                                                                                       20876 ns        20517 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev                                                                                         184 ns          186 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min                                                                                          20536 ns        20161 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean                                                                                         12211 ns        24144 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_median                                                                                       12139 ns        24026 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_stddev                                                                                         150 ns          259 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_min                                                                                          12024 ns        23796 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_mean                                                                                         11174 ns        40605 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_median                                                                                       11287 ns        40858 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_stddev                                                                                         305 ns         1179 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_min                                                                                          10730 ns        39113 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean                                                                                                             9453 ns         9320 ns           10
